C0/date,C0/min,C0/max,C0/mean,C0/stDev,C0/median,C0/p10,C0/p90
2020-11-20T00:00:00.000Z,-1.61166E-05,2.92925E-05,8.11491E-06,6.16701E-06,8.26118E-06,4.33E-07,1.58885E-05
2020-11-21T00:00:00.000Z,-1.66032E-05,3.94267E-05,1.15278E-05,7.04298E-06,1.13904E-05,2.88464E-06,2.01452E-05
2020-11-22T00:00:00.000Z,-1.74349E-05,3.48697E-05,9.8498E-06,7.13499E-06,1.02282E-05,8.72E-07,1.85053E-05
2020-11-23T00:00:00.000Z,-1.24049E-05,3.17733E-05,8.28667E-06,7.56287E-06,8.39488E-06,-1.13366E-06,1.8052E-05
2020-11-24T00:00:00.000Z,-1.95169E-05,2.84251E-05,6.80196E-06,8.61913E-06,7.68677E-06,-4.74451E-06,1.75134E-05
2020-11-25T00:00:00.000Z,-1.14862E-05,2.51945E-05,7.61215E-06,7.01865E-06,7.74098E-06,-1.79462E-06,1.64337E-05
2020-11-26T00:00:00.000Z,-3.58601E-05,3.64227E-05,5.07484E-06,7.33141E-06,4.88595E-06,-4.04242E-06,1.45619E-05
2020-11-27T00:00:00.000Z,-2.12243E-05,4.95073E-05,9.56514E-06,8.06011E-06,9.38873E-06,-5.12E-07,1.97472E-05
2020-11-28T00:00:00.000Z,-2.98007E-05,4.12592E-05,6.558E-06,8.31281E-06,6.86994E-06,-3.72475E-06,1.65454E-05
2020-11-29T00:00:00.000Z,-1.02381E-05,2.18943E-05,4.6482E-06,5.8398E-06,4.75379E-06,-2.94099E-06,1.25839E-05
2020-11-30T00:00:00.000Z,-9.77256E-06,4.23285E-05,9.84064E-06,7.04072E-06,8.83301E-06,1.96855E-06,1.91965E-05
2020-12-01T00:00:00.000Z,-2.17543E-05,3.34822E-05,3.77143E-06,7.32161E-06,3.57576E-06,-5.12815E-06,1.35545E-05
2020-12-02T00:00:00.000Z,-1.8483E-05,4.12587E-05,7.27374E-06,6.9982E-06,7.18569E-06,-1.43057E-06,1.56981E-05
2020-12-03T00:00:00.000Z,-1.80079E-05,3.27475E-05,6.69331E-06,6.92672E-06,6.87403E-06,-2.19424E-06,1.49234E-05
2020-12-04T00:00:00.000Z,-1.60541E-05,3.46281E-05,8.98186E-06,6.84326E-06,8.68591E-06,7.31E-07,1.78103E-05
2020-12-05T00:00:00.000Z,-1.83163E-05,3.92566E-05,5.35537E-06,6.38972E-06,5.1266E-06,-1.91014E-06,1.28554E-05
2020-12-06T00:00:00.000Z,-3.0994E-05,3.67294E-05,6.9681E-06,7.65015E-06,6.81769E-06,-2.22932E-06,1.65099E-05
2020-12-07T00:00:00.000Z,-2.93087E-05,3.43129E-05,4.90938E-06,8.41098E-06,5.06232E-06,-5.97088E-06,1.53306E-05
2020-12-08T00:00:00.000Z,-1.85193E-05,3.46961E-05,6.25635E-06,7.56527E-06,5.87827E-06,-3.28124E-06,1.61905E-05
2020-12-09T00:00:00.000Z,-1.20263E-05,3.16409E-05,7.69766E-06,7.7669E-06,7.09247E-06,-1.26059E-06,1.79923E-05
2020-12-10T00:00:00.000Z,-2.14452E-05,3.69152E-05,7.69338E-06,7.17431E-06,7.97799E-06,-1.1743E-06,1.6711E-05
2020-12-11T00:00:00.000Z,-1.30358E-05,3.33788E-05,4.80792E-06,5.88757E-06,4.82406E-06,-2.43013E-06,1.15427E-05
2020-12-12T00:00:00.000Z,-1.89592E-05,3.17397E-05,7.12028E-06,6.88168E-06,7.21037E-06,-1.77201E-06,1.56871E-05
2020-12-13T00:00:00.000Z,-3.19873E-05,4.35061E-05,6.98525E-06,7.83484E-06,6.72026E-06,-2.1047E-06,1.70966E-05
2020-12-14T00:00:00.000Z,-2.75E-07,2.8475E-05,1.05387E-05,5.52745E-06,1.00955E-05,4.43047E-06,1.9442E-05
2020-12-15T00:00:00.000Z,-2.73459E-05,2.60246E-05,6.6257E-06,7.43843E-06,6.79444E-06,-2.02972E-06,1.60149E-05
2020-12-16T00:00:00.000Z,-1.65845E-05,3.06076E-05,6.54619E-06,6.59028E-06,6.53018E-06,-1.59161E-06,1.52565E-05
2020-12-17T00:00:00.000Z,-3.41158E-05,3.94802E-05,6.80308E-06,8.61608E-06,6.84672E-06,-4.21583E-06,1.79078E-05
2020-12-19T00:00:00.000Z,-1.65287E-05,1.99281E-05,3.51899E-06,8.09022E-06,5.21063E-06,-6.84547E-06,1.70228E-05
2020-12-20T00:00:00.000Z,-6.43857E-06,2.68344E-05,8.47649E-06,6.68618E-06,8.41269E-06,2.33E-07,1.77212E-05
2020-12-21T00:00:00.000Z,-7.97614E-06,2.90232E-05,9.28724E-06,9.00807E-06,6.65864E-06,-2.11E-07,2.72117E-05
2020-12-22T00:00:00.000Z,-2.2627E-05,2.91411E-05,6.68009E-06,7.12809E-06,6.70593E-06,-2.14313E-06,1.58061E-05
2020-12-23T00:00:00.000Z,-1.84981E-05,3.19997E-05,6.89038E-06,7.04715E-06,6.97194E-06,-2.09374E-06,1.54629E-05
2020-12-24T00:00:00.000Z,-2.10941E-05,3.33153E-05,6.14066E-06,8.25815E-06,6.12526E-06,-4.19349E-06,1.68373E-05
2020-12-25T00:00:00.000Z,-9.85001E-06,2.71344E-05,8.13923E-06,7.92681E-06,8.01777E-06,-2.36007E-06,1.75334E-05
2020-12-27T00:00:00.000Z,-3.00687E-05,3.02319E-05,5.25938E-06,6.69729E-06,4.96721E-06,-3.29457E-06,1.38741E-05
2020-12-28T00:00:00.000Z,-1.65222E-05,4.84639E-05,8.9205E-06,8.81985E-06,8.52257E-06,-1.43056E-06,1.99348E-05
2020-12-29T00:00:00.000Z,-2.00525E-05,4.53848E-05,1.00234E-05,9.95622E-06,9.38694E-06,-2.00814E-06,2.30087E-05
2020-12-30T00:00:00.000Z,-1.98312E-05,4.28577E-05,4.11182E-06,8.72715E-06,4.11312E-06,-7.08143E-06,1.54744E-05
2020-12-31T00:00:00.000Z,-1.12869E-05,2.83257E-05,7.09433E-06,6.90303E-06,7.44583E-06,-1.67449E-06,1.55498E-05
2021-01-02T00:00:00.000Z,-2.46193E-05,3.14037E-05,3.41307E-06,8.74638E-06,2.93977E-06,-7.40317E-06,1.51484E-05
2021-01-03T00:00:00.000Z,-1.77263E-05,4.27185E-05,1.01062E-05,8.44187E-06,1.02672E-05,-7.49E-07,2.0336E-05
2021-01-04T00:00:00.000Z,-9.34488E-06,3.94678E-05,1.64616E-05,9.30975E-06,1.74013E-05,3.83616E-06,2.86356E-05
2021-01-05T00:00:00.000Z,-1.32068E-05,2.58744E-05,3.69539E-06,7.11713E-06,3.04498E-06,-4.64172E-06,1.37697E-05
